titles,category
비명계  강서 압승에도 신중론   승리에 도취해 민심 오독 안 돼 ,Politics
여야       합의 놓고 충돌 대통령실  효력정지 검토중  종합 ,Politics
여당  강서 보선 참패에  수도권 맞춤형 대안 마련 특단대책 강구  종합 ,Politics
김행 여가장관 후보자 자진사퇴  선당후사 자세로 결심  종합 ,Politics
보선 후 대여 공세 수위 높이는    착잡한   정국 다시 급랭,Politics
민주   한동훈 사퇴해야 ,Politics
참패예측  적중  이준석  더 비루한 사리사욕 등장할 것 ,Politics
 수감 탈북민    여명 북송  사실관계 확인중      국감 ,Politics
   정보보호  국가 전략 산업 육성 ,Politics
천하람  선거 폭망 험지였다고  정부여당이  험지 메이커  ,Politics
통계청장  가구별 부채 특성 분석 가상자산 통계 작성 검토 ,Economic
 월 은행 주담대    조 또 늘어 가계대출     조원 육박,Economic
KT G  카자흐스탄에 하이브리드형  담배  생산기지 구축,Economic
국가채무     조원 돌파 나라살림은   조원 적자,Economic
GS  탄소저감 바이오연료 밸류체인 구축 UAE 광구 확보 등 해외 자원개발도 속도,Economic
방문규 산업장관  한전  국민 납득할 추가 자구책 마련하라 ,Economic
모로코 방문 추경호  우크라이나 재건에 한국 지식 도움 될 것 ,Economic
 삼성 AI 포럼       내달  일 개최  반도체 전설  짐 켈러 기조강연,Economic
 후쿠시마 수산물  가공하면 아무 규제 없이 수입 가능 ,Economic
KAMA  싱가포르 현지에서  미래모빌리티 발전전략  세미나 개최,Economic
 푸바오  쌍둥이 동생 이름은 루이바오 후이바오  내년초 만나요 ,Social
미리 보는 오늘,Social
회원 개인정보 유출 위메프   억 과징금 취소소송 승소 확정,Social
대구 엑스코서 미래모빌리티 산업 현재 미래 살펴,Social
 속보   노조활동 부당개입  김장겸 전 MBC 사장 집행유예 확정,Social
검찰  이재명 불구속기소  백현동 특혜 의혹  배임 혐의,Social
행안부  광주 남구  정율성로  도로명 시정 권고,Social
전남교육청       유 초 특 교사 임용시험 경쟁률    대 ,Social
성남 모란시장 인근 상가로 트럭 돌진   명 부상 ,Social
 인터뷰  하기환 대회장    년역사 세계한상대회  첫   개최로 재도약 ,Social
베를린 슈타츠카펠레 현악  중주단  아리랑 연주 책임감 느껴 ,Culture
 DMZ 평화의 길 걸으며 가을 정취 만끽하세요 ,Culture
 헤어지기 좋은 시간 반갑다 새책 ,Culture
 내일도 아침 쌀쌀  낮에는 온화해 당분간 일교차 커  내일까지 동해안 너울주의 날씨 ,Culture
토요일 중부지방 중심 요란한 가을비  우박  떨어질 수도,Culture
이용훈 주교  코로나 몸살 앓은 교회  사회에 빛과 소금되도록 일조 ,Culture
UAE  항공기 운항 횟수    배 늘려달라  국내 항공사 좌불안석,Culture
월가 취업 안될라    하버드생들  이스라엘 규탄성명 철회,World
  공화  하원의장 후보에 스컬리스 지명,World
바이든  네타냐후와 또 통화 의회선  아이언돔 지원법  발의 이 팔 전쟁 ,World
 정부  반도체 예산   조원 증액 방침 라피더스 TSMC 등 지원,World
이스라엘군  남부 레바논 공습  헤즈볼라 로켓포 발사 대응 ,World
이스라엘  지상군 투입 임박  전운    만 병력 국경에 집결,World
전세계서 이스라엘 예비군   만명 집결 연령 초과자도 지원 러시,World
 일본 정부  내일 통일교 해산명령 청구 정식결정 방침 ,World
NYT  이란도 하마스 이스라엘 공격에 깜짝 놀랐다 ,World
한일관계  일본 사람들은 좋아졌다는데 한국 사람들은  아직은 좀  ,World
 양자보안의 시대 오면 세계 각국이 한국 배울 수밖에 없어 ,IT
아이폰 사전예약 종료  출시 후에도 높은 판매량 전망,IT
PASS앱  금융 의료 분야서 쓰인다 주민번호 확인 가능해져,IT
 개인정보 유출  경북대 숙대 등  곳에 억대 과징금 과태료,IT
R D 공방에  통신비  G품질 묻힌  정쟁 국감 ,IT
과기정통부  과학기술원 자체 재원으로 학생연구원 지원 축소없게 하겠다 ,IT
LIG넥스원  방산수출  대강국 도약  클라우드 인프라 필수 ,IT
카카오모빌리티  물류중개기술 탈취  사실과 달라   가지 반박,IT
